# Emission spectrum of  in ethanol
#
# Data from PhotochemCAD 2.1a has been munged on 26 February 2012 by Scott Prahl to make
# the information available to non-Windows users.  Although I have tried to be as careful
# as possible, I may have introduced some error; the cautious user is advised to compare
# these results with the original sources at www.photochemcad.com:
#
# H. Du, R. A. Fuh, J. Li, A. Corkan, J. S. Lindsey, "PhotochemCAD: A computer-aided design
#     and research tool in photochemistry," Photochem. Photobiol., 68, 141-142, 1998. 
# J. M. Dixon, M. Taniguchi and J. S. Lindsey "PhotochemCAD 2. A refined program with accompanying 
#     spectral databases for photochemical calculations", Photochem. Photobiol., 81, 212-213, 2005.
#
# The spectral absorption measurements were made by  on on 06-24-1997 
# using a Spex FluoroMax.   The excitation and emission monochromators were set at 1 mm, giving a spectral bandwidth of 4.25 nm.  The data interval was 0.5 nm and the integration time was 2.0 sec. Samples were prepared in 1cm pathlength quartz cells with absorbance less than 0.1 at the excitation and all emission wavelengths to uniformly illuminate across the sample, and to avoid the inner-filter effect.  The dark counts were subtracted and the spectra were corrected for wavelength-dependent instrument sensitivity.
#
##Wavelength (nm)	Emission (AU)
460	151014
460.5	161619
461	169035
461.5	181723
462	191963
462.5	207605
463	219034
463.5	235411
464	251363
464.5	273037
465	287740
465.5	311434
466	332393
466.5	361633
467	382264
467.5	415899
468	448326
468.5	486430
469	516329
469.5	560951
470	604745
470.5	654161
471	693445
471.5	755205
472	814009
472.5	883725
473	939502
473.5	1021330
474	1100431
474.5	1191899
475	1266550
475.5	1380003
476	1478213
476.5	1612642
477	1701563
477.5	1853660
478	1968514
478.5	2142818
479	2256514
479.5	2433491
480	2584960
480.5	2777348
481	2926926
481.5	3111158
482	3282674
482.5	3511931
483	3680203
483.5	3897692
484	4088765
484.5	4323625
485	4503803
485.5	4724506
486	4912197
486.5	5158387
487	5338411
487.5	5556474
488	5760502
488.5	6006892
489	6172732
489.5	6409681
490	6601645
490.5	6855704
491	7022624
491.5	7255940
492	7462905
492.5	7695486
493	7865325
493.5	8092661
494	8293206
494.5	8496996
495	8654257
495.5	8868383
496	9056987
496.5	9250974
497	9407676
497.5	9593256
498	9771218
498.5	9955899
499	10097120
499.5	10267030
500	10424230
500.5	10596420
501	10704630
501.5	10877010
502	11005890
502.5	11153720
503	11263010
503.5	11398440
504	11510060
504.5	11629570
505	11716310
505.5	11822510
506	11910050
506.5	12008130
507	12088480
507.5	12170110
508	12240660
508.5	12318960
509	12374140
509.5	12432590
510	12491080
510.5	12550030
511	12598660
511.5	12649490
512	12699980
512.5	12748540
513	12786440
513.5	12822740
514	12865800
514.5	12894340
515	12925980
515.5	12963550
516	12987760
516.5	13024150
517	13052660
517.5	13076920
518	13096850
518.5	13116250
519	13138510
519.5	13158280
520	13169990
520.5	13187120
521	13207620
521.5	13212380
522	13230260
522.5	13239960
523	13251420
523.5	13258450
524	13267040
524.5	13270620
525	13283390
525.5	13292950
526	13303260
526.5	13303730
527	13309450
527.5	13315040
528	13318860
528.5	13319990
529	13326740
529.5	13329100
530	13335800
530.5	13330200
531	13341770
531.5	13336420
532	13337930
532.5	13332060
533	13332350
533.5	13332350
534	13334380
534.5	13316720
535	13316280
535.5	13313550
536	13320340
536.5	13311360
537	13314570
537.5	13298060
538	13295550
538.5	13280280
539	13280720
539.5	13265760
540	13253850
540.5	13226990
541	13221910
541.5	13191020
542	13170990
542.5	13145800
543	13131180
543.5	13099950
544	13069140
