# Emission spectrum of  in water, 0.1 M phosphate buffer, pH 7
#
# Data from PhotochemCAD 2.1a has been munged on 26 February 2012 by Scott Prahl to make
# the information available to non-Windows users.  Although I have tried to be as careful
# as possible, I may have introduced some error; the cautious user is advised to compare
# these results with the original sources at www.photochemcad.com:
#
# H. Du, R. A. Fuh, J. Li, A. Corkan, J. S. Lindsey, "PhotochemCAD: A computer-aided design
#     and research tool in photochemistry," Photochem. Photobiol., 68, 141-142, 1998. 
# J. M. Dixon, M. Taniguchi and J. S. Lindsey "PhotochemCAD 2. A refined program with accompanying 
#     spectral databases for photochemical calculations", Photochem. Photobiol., 81, 212-213, 2005.
#
# The spectral absorption measurements were made by  on in the summer of 1995 
# using a Spex FluoroMax.   The excitation and emission monochromators were set at 1 mm, giving a spectral bandwidth of 4.25 nm.  The data interval was 0.5 nm and the integration time was 2.0 sec. Samples were prepared in 1cm pathlength quartz cells with absorbance less than 0.1 at the excitation and all emission wavelengths to uniformly illuminate across the sample, and to avoid the inner-filter effect.  The dark counts were subtracted and the spectra were corrected for wavelength-dependent instrument sensitivity.
#
##Wavelength (nm)	Emission (AU)
280	379
280.5	396
281	403
281.5	416
282	442
282.5	424
283	414
283.5	409
284	432
284.5	415
285	370
285.5	430
286	373
286.5	418
287	445
287.5	460
288	477
288.5	508
289	527
289.5	557
290	632
290.5	720
291	768
291.5	894
292	943
292.5	1295
293	1377
293.5	2052
294	2467
294.5	3209
295	3870
295.5	4803
296	5425
296.5	6351
297	6824
297.5	7433
298	7660
298.5	7641
299	7727
299.5	7285
300	7263
300.5	7255
301	7268
301.5	7432
302	7623
302.5	8090
303	8693
303.5	9739
304	10254
304.5	11501
305	12352
305.5	13921
306	14928
306.5	16663
307	18096
307.5	20485
308	21555
308.5	23645
309	25314
309.5	27908
310	29523
310.5	32163
311	34269
311.5	37922
312	39409
312.5	42613
313	44990
313.5	49273
314	50744
314.5	54641
315	57457
315.5	61212
316	64090
316.5	67997
317	70131
317.5	75455
318	77674
318.5	81040
319	84165
319.5	88325
320	90751
320.5	94733
321	98186
321.5	102177
322	105321
322.5	109571
323	111977
323.5	118016
324	119032
324.5	123212
325	125788
325.5	131231
326	134738
326.5	138456
327	141768
327.5	145593
328	148634
328.5	153189
329	155833
329.5	160680
330	163387
330.5	168822
331	171175
331.5	176722
332	179630
332.5	182396
333	186145
333.5	190161
334	192823
334.5	195587
335	198721
335.5	203456
336	205051
336.5	208987
337	211072
337.5	214710
338	216726
338.5	218880
339	222081
339.5	225721
340	226914
340.5	228886
341	231350
341.5	233034
342	235798
342.5	236873
343	239537
343.5	241085
344	243189
344.5	243862
345	245335
345.5	247548
346	248921
346.5	250208
347	252162
347.5	252628
348	253884
348.5	256520
349	256209
349.5	257894
350	257871
350.5	258861
351	259502
351.5	260861
352	260311
352.5	261741
353	260990
353.5	260924
354	262289
354.5	262018
355	261037
355.5	261868
356	262119
356.5	261996
357	260807
357.5	259837
358	259908
358.5	258775
359	258397
359.5	257845
360	257404
360.5	256122
361	255261
361.5	253927
362	253013
362.5	252154
363	250195
363.5	248499
364	248505
364.5	245916
365	244155
365.5	242616
366	242706
366.5	239691
367	238970
367.5	237405
368	235412
368.5	234503
369	231420
369.5	231041
370	228944
370.5	227221
371	225671
371.5	223224
372	221417
372.5	219714
373	219273
373.5	215815
374	214516
374.5	212658
375	211358
375.5	208654
376	207140
376.5	205531
377	204858
377.5	202255
378	199905
378.5	197366
379	196149
379.5	193610
380	190610
380.5	186649
381	185334
381.5	182264
382	181406
382.5	176248
383	175121
383.5	171710
384	168685
384.5	166880
385	164760
385.5	161211
386	159570
386.5	156142
387	153966
387.5	151149
388	149600
388.5	146840
389	145219
389.5	142960
390	140896
390.5	138920
391	136926
391.5	134294
392	132837
392.5	130199
393	128851
393.5	126336
394	124243
394.5	123009
395	121788
395.5	119779
396	117699
396.5	116728
397	114612
397.5	111899
398	110989
398.5	109012
399	107550
399.5	105210
400	104144
400.5	102838
401	100580
401.5	99092
402	98062
402.5	96647
403	94821
403.5	91867
404	91074
404.5	88917
405	88376
405.5	85760
406	85394
406.5	83195
407	81957
407.5	79923
408	78956
408.5	76839
409	76075
409.5	74033
410	73214
410.5	71765
411	70141
411.5	68899
412	68468
412.5	66480
413	65471
413.5	64060
414	63114
414.5	62293
415	61090
415.5	59989
416	59240
416.5	58572
417	57442
417.5	55783
418	55004
418.5	53870
419	53177
419.5	51953
420	51417
420.5	50097
421	49208
421.5	48283
422	47749
422.5	46646
423	46498
423.5	45420
424	44609
424.5	43598
425	43060
425.5	41494
426	41150
426.5	40306
427	39696
427.5	38760
428	37724
428.5	37002
429	36245
429.5	35417
430	35507
430.5	34035
431	33713
431.5	32578
432	32134
432.5	31528
433	31151
433.5	30154
434	29452
434.5	29130
435	28559
435.5	27702
436	27260
436.5	26560
437	26477
437.5	25606
438	24827
438.5	24876
439	24198
439.5	23456
440	23339
440.5	23194
441	22480
441.5	22077
442	21685
442.5	21045
443	20668
443.5	20185
444	20018
444.5	19528
445	19362
445.5	18711
446	18328
446.5	18009
447	17764
447.5	17386
448	17349
448.5	16630
449	16511
449.5	16099
450	15797
450.5	15466
451	14906
451.5	14657
452	14567
452.5	14192
453	13799
453.5	13643
454	13335
454.5	13132
455	12795
455.5	12282
456	12308
456.5	11933
457	11846
457.5	11352
458	11090
458.5	11035
459	10793
459.5	10339
460	10329
