# Emission spectrum of Tyrosine in water, 0.1 M phosphate buffer, pH 7
#
# Data from PhotochemCAD 2.1a has been munged on 26 February 2012 by Scott Prahl to make
# the information available to non-Windows users.  Although I have tried to be as careful
# as possible, I may have introduced some error; the cautious user is advised to compare
# these results with the original sources at www.photochemcad.com:
#
# H. Du, R. A. Fuh, J. Li, A. Corkan, J. S. Lindsey, "PhotochemCAD: A computer-aided design
#     and research tool in photochemistry," Photochem. Photobiol., 68, 141-142, 1998. 
# J. M. Dixon, M. Taniguchi and J. S. Lindsey "PhotochemCAD 2. A refined program with accompanying 
#     spectral databases for photochemical calculations", Photochem. Photobiol., 81, 212-213, 2005.
#
# The spectral absorption measurements were made by  on in the summer of 1995 
# using a Spex FluoroMax.   The excitation and emission monochromators were set at 1 mm, giving a spectral bandwidth of 4.25 nm.  The data interval was 0.5 nm and the integration time was 2.0 sec. Samples were prepared in 1cm pathlength quartz cells with absorbance less than 0.1 at the excitation and all emission wavelengths to uniformly illuminate across the sample, and to avoid the inner-filter effect.  The dark counts were subtracted and the spectra were corrected for wavelength-dependent instrument sensitivity.
#
##Wavelength (nm)	Emission (AU)
270	152
270.5	159
271	200
271.5	220
272	217
272.5	218
273	245
273.5	215
274	281
274.5	279
275	371
275.5	444
276	517
276.5	728
277	769
277.5	1115
278	1238
278.5	1690
279	1919
279.5	2628
280	3257
280.5	4148
281	4954
281.5	6658
282	7642
282.5	9729
283	11301
283.5	13909
284	14980
284.5	17194
285	18538
285.5	20041
286	20782
286.5	21859
287	22714
287.5	23884
288	24757
288.5	25728
289	27165
289.5	29016
290	29411
290.5	31023
291	32569
291.5	33611
292	34678
292.5	36503
293	37207
293.5	38517
294	38988
294.5	40492
295	41113
295.5	42044
296	42818
296.5	43396
297	44166
297.5	44761
298	45021
298.5	45309
299	46001
299.5	46701
300	46838
300.5	47203
301	47571
301.5	47282
302	47277
302.5	47601
303	48203
303.5	47438
304	47367
304.5	47200
305	47403
305.5	46570
306	46484
306.5	45745
307	45632
307.5	44829
308	44725
308.5	44125
309	43514
309.5	42565
310	42231
310.5	41038
311	40701
311.5	39752
312	39054
312.5	38487
313	37646
313.5	36693
314	36152
314.5	35286
315	34621
315.5	33291
316	32812
316.5	32155
317	31421
317.5	30203
318	29989
318.5	29192
319	28576
319.5	27619
320	27347
320.5	26215
321	25812
321.5	25081
322	24094
322.5	23729
323	23273
323.5	22388
324	21998
324.5	21406
